text,label
"Heat detected in room","fire"
"Minor fire alert","fire"
"Fire controlled by staff","fire"
"Short circuit sparks","fire"
"Early stage fire handled","fire"
"Smoke detected in kitchen","fire"
"Fire extinguished quickly","fire"
"No major damage from fire","fire"

"Water levels rising quickly","flood"
"Heavy rain caused flooding","flood"
"Roads submerged in water","flood"
"Houses filled with water","flood"
"River overflowed causing flood","flood"
"Vehicles stuck in water","flood"
"Flood water entering buildings","flood"
"Severe waterlogging","flood"
"Drainage failed leading to flood","flood"
"People stranded in flood","flood"
"Water reached knee level","flood"
"Entire area under water","flood"
"Rainwater accumulated everywhere","flood"
"Strong currents on roads","flood"
"Flood alert issued","flood"
"Water entering homes","flood"
"Traffic disrupted due to flood","flood"
"Continuous rain causing flood","flood"
"Boats used for rescue","flood"
"Overflowing drains","flood"
"Water level rising dangerously","flood"
"Flood affecting daily life","flood"
"Heavy flooding reported","flood"
"People moving to higher ground","flood"
"Flood damaging property","flood"
"Waterlogged streets","flood"
"Flood situation worsening","flood"
"Storm caused flooding","flood"
"Water flowing into houses","flood"
"Flood emergency declared","flood"
"Light waterlogging on roads","flood"
"Small puddles forming","flood"
"Minor flooding in area","flood"
"Water accumulation due to rain","flood"
"Slight waterlogging","flood"
"Low level flooding","flood"
"Drain overflow minimal","flood"
"Water on streets but manageable","flood"
"Temporary flooding observed","flood"
"Rainwater clogging roads","flood"
"Moderate water buildup","flood"
"Water entering slightly","flood"
"Minor flood warning","flood"
"Short term flooding","flood"
"Localized waterlogging","flood"
"Rain caused mild flooding","flood"
"Water drains slowly","flood"
"Partial flooding in streets","flood"
"Low impact flood","flood"
"Water rising slowly","flood"

"Weather is nice today","normal"
"Everything is normal","normal"
"No unusual activity","normal"
"People going about daily work","normal"
"Traffic moving smoothly","normal"
"Calm and peaceful area","normal"
"No danger detected","normal"
"Regular day","normal"
"All systems working fine","normal"
"Clear skies today","normal"
"Nothing unusual happening","normal"
"Routine activities ongoing","normal"
"Area is safe","normal"
"No emergency","normal"
"Business running normally","normal"
"People relaxing","normal"
"Normal working conditions","normal"
"No alerts","normal"
"Everything under control","normal"
"Daily life normal","normal"
"No hazards","normal"
"Normal crowd movement","normal"
"Peaceful environment","normal"
"No incidents reported","normal"
"Stable surroundings","normal"
"Usual operations","normal"
"No disruptions","normal"
"Routine check done","normal"
"All clear","normal"
"Environment normal","normal"
"Just a regular day","normal"
"Nothing to report","normal"
"Situation is fine","normal"
"All good here","normal"
"No issues observed","normal"
"Area functioning well","normal"
"People commuting normally","normal"
"No abnormal signs","normal"
"Everything seems fine","normal"
"Calm surroundings","normal"
"No warning signals","normal"
"Safe conditions","normal"
"Normal traffic flow","normal"
"Routine life","normal"
"No danger signs","normal"
"Everything stable","normal"
"Peaceful day","normal"
"No emergency situation","normal"
"All normal conditions","normal"
"Nothing unusual to report","normal"
